Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/11 13:00:00,"1,120 W",638 W,378 W,104 W
2024/1/11 14:00:00,"1,107 W",694 W,312 W,101 W
2024/1/11 15:00:00,"1,151 W",703 W,344 W,104 W
2024/1/11 16:00:00,765 W,393 W,265 W,107 W
2024/1/11 17:00:00,"1,433 W",377 W,929 W,127 W
2024/1/11 18:00:00,"1,345 W",323 W,840 W,182 W
2024/1/11 19:00:00,"1,027 W",550 W,293 W,184 W
2024/1/11 20:00:00,841 W,345 W,311 W,185 W
2024/1/11 21:00:00,960 W,485 W,288 W,187 W
2024/1/11 22:00:00,"1,067 W",611 W,271 W,185 W
2024/1/11 23:00:00,840 W,378 W,276 W,186 W
2024/1/12 0:00:00,833 W,368 W,279 W,186 W
2024/1/12 1:00:00,"1,147 W",543 W,415 W,189 W
2024/1/12 2:00:00,748 W,262 W,297 W,189 W
2024/1/12 3:00:00,783 W,262 W,332 W,189 W
2024/1/12 4:00:00,948 W,376 W,382 W,190 W
2024/1/12 5:00:00,829 W,255 W,386 W,188 W
2024/1/12 6:00:00,"1,123 W",488 W,450 W,185 W
2024/1/12 7:00:00,758 W,223 W,381 W,154 W
2024/1/12 8:00:00,704 W,343 W,247 W,114 W
2024/1/12 9:00:00,559 W,208 W,245 W,106 W
2024/1/12 10:00:00,816 W,469 W,244 W,103 W
2024/1/12 11:00:00,581 W,218 W,257 W,106 W
2024/1/12 12:00:00,730 W,358 W,264 W,108 W
2024/1/12 13:00:00,610 W,236 W,267 W,107 W
2024/1/12 14:00:00,603 W,221 W,275 W,107 W
2024/1/12 15:00:00,892 W,472 W,313 W,107 W
2024/1/12 16:00:00,589 W,271 W,202 W,116 W
2024/1/12 17:00:00,866 W,459 W,280 W,127 W
2024/1/12 18:00:00,"1,039 W",457 W,400 W,182 W
2024/1/12 19:00:00,694 W,236 W,276 W,182 W
2024/1/12 20:00:00,858 W,358 W,318 W,182 W
2024/1/12 21:00:00,727 W,254 W,292 W,181 W
2024/1/12 22:00:00,759 W,249 W,326 W,184 W
2024/1/12 23:00:00,863 W,381 W,298 W,184 W
2024/1/13 0:00:00,935 W,367 W,384 W,184 W
2024/1/13 1:00:00,"1,613 W","1,042 W",387 W,184 W
2024/1/13 2:00:00,971 W,490 W,296 W,185 W
2024/1/13 3:00:00,903 W,409 W,309 W,185 W
2024/1/13 4:00:00,966 W,474 W,308 W,184 W
2024/1/13 5:00:00,852 W,366 W,302 W,184 W
2024/1/13 6:00:00,"1,065 W",530 W,354 W,181 W
2024/1/13 7:00:00,659 W,228 W,289 W,142 W
2024/1/13 8:00:00,815 W,382 W,322 W,111 W
2024/1/13 9:00:00,709 W,261 W,344 W,104 W
2024/1/13 10:00:00,"1,257 W",223 W,931 W,103 W
2024/1/13 11:00:00,731 W,365 W,262 W,104 W
2024/1/13 12:00:00,"1,927 W",604 W,"1,211 W",112 W
