Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/20 7:00:00,"6,060 W",429 W,205 W,"5,426 W"
2024/1/20 8:00:00,"4,351 W",418 W,195 W,"3,738 W"
2024/1/20 9:00:00,"4,555 W",418 W,192 W,"3,945 W"
2024/1/20 10:00:00,"4,581 W",421 W,201 W,"3,959 W"
2024/1/20 11:00:00,"4,572 W",424 W,200 W,"3,948 W"
2024/1/20 12:00:00,"4,201 W",424 W,199 W,"3,578 W"
2024/1/20 13:00:00,"4,367 W",418 W,193 W,"3,756 W"
2024/1/20 14:00:00,"4,401 W",427 W,196 W,"3,778 W"
2024/1/20 15:00:00,"4,379 W",422 W,200 W,"3,757 W"
2024/1/20 16:00:00,"4,374 W",420 W,200 W,"3,754 W"
2024/1/20 17:00:00,"2,139 W",423 W,202 W,"1,514 W"
2024/1/20 18:00:00,"4,532 W",411 W,195 W,"3,926 W"
2024/1/20 19:00:00,"4,987 W",423 W,202 W,"4,362 W"
2024/1/20 20:00:00,"5,022 W",426 W,205 W,"4,391 W"
2024/1/20 21:00:00,"2,272 W",433 W,203 W,"1,636 W"
2024/1/20 22:00:00,"2,277 W",429 W,207 W,"1,641 W"
2024/1/20 23:00:00,"2,331 W",434 W,225 W,"1,672 W"
2024/1/21 0:00:00,"2,367 W",442 W,232 W,"1,693 W"
2024/1/21 1:00:00,"2,370 W",446 W,228 W,"1,696 W"
2024/1/21 2:00:00,"2,402 W",446 W,235 W,"1,721 W"
2024/1/21 3:00:00,"2,421 W",445 W,231 W,"1,745 W"
2024/1/21 4:00:00,"2,436 W",447 W,230 W,"1,759 W"
2024/1/21 5:00:00,"2,395 W",442 W,230 W,"1,723 W"
2024/1/21 6:00:00,"5,008 W",453 W,305 W,"4,250 W"
2024/1/21 7:00:00,"3,622 W",424 W,198 W,"3,000 W"
2024/1/21 8:00:00,"4,671 W",762 W,475 W,"3,434 W"
2024/1/21 9:00:00,"4,643 W",743 W,504 W,"3,396 W"
2024/1/21 10:00:00,"3,178 W",683 W,"1,304 W","1,191 W"
2024/1/21 11:00:00,"4,640 W",664 W,"1,127 W","2,849 W"
2024/1/21 12:00:00,"7,263 W",723 W,"1,543 W","4,997 W"
2024/1/21 13:00:00,"8,096 W",963 W,"1,817 W","5,316 W"
2024/1/21 14:00:00,"1,921 W",552 W,403 W,966 W
2024/1/21 15:00:00,"2,318 W",541 W,477 W,"1,300 W"
2024/1/21 16:00:00,"1,337 W",506 W,275 W,556 W
2024/1/21 17:00:00,"1,115 W",371 W,281 W,463 W
2024/1/21 18:00:00,"3,586 W",368 W,282 W,"2,936 W"
2024/1/21 19:00:00,"3,601 W",370 W,297 W,"2,934 W"
2024/1/21 20:00:00,"3,434 W",372 W,303 W,"2,759 W"
2024/1/21 21:00:00,"1,215 W",378 W,308 W,529 W
2024/1/21 22:00:00,"1,203 W",379 W,293 W,531 W
2024/1/21 23:00:00,"1,232 W",386 W,309 W,537 W
2024/1/22 0:00:00,"1,221 W",392 W,288 W,541 W
2024/1/22 1:00:00,"1,214 W",389 W,285 W,540 W
2024/1/22 2:00:00,"1,212 W",389 W,282 W,541 W
2024/1/22 3:00:00,"1,217 W",394 W,284 W,539 W
2024/1/22 4:00:00,"1,208 W",390 W,279 W,539 W
2024/1/22 5:00:00,"2,389 W",419 W,364 W,"1,606 W"
2024/1/22 6:00:00,"7,574 W",404 W,349 W,"6,821 W"
2024/1/22 7:00:00,"4,966 W",372 W,254 W,"4,340 W"
2024/1/22 8:00:00,"8,533 W",810 W,671 W,"7,052 W"
2024/1/22 9:00:00,"6,001 W",792 W,569 W,"4,640 W"
2024/1/22 10:00:00,"8,546 W","1,265 W","1,698 W","5,583 W"
2024/1/22 11:00:00,"8,725 W","1,109 W","1,900 W","5,716 W"
2024/1/22 12:00:00,"5,709 W","1,452 W","1,375 W","2,882 W"
2024/1/22 13:00:00,"4,796 W",633 W,"1,425 W","2,738 W"
2024/1/22 14:00:00,"6,448 W",544 W,"1,116 W","4,788 W"
2024/1/22 15:00:00,"3,484 W",534 W,229 W,"2,721 W"
2024/1/22 16:00:00,943 W,389 W,247 W,307 W
2024/1/22 17:00:00,930 W,391 W,277 W,262 W
2024/1/22 18:00:00,"3,989 W",511 W,228 W,"3,250 W"
2024/1/22 19:00:00,"4,015 W",445 W,259 W,"3,311 W"
2024/1/22 20:00:00,"3,765 W",552 W,303 W,"2,910 W"
2024/1/22 21:00:00,"4,309 W",562 W,288 W,"3,459 W"
2024/1/22 22:00:00,"1,401 W",530 W,279 W,592 W
2024/1/22 23:00:00,"1,440 W",538 W,309 W,593 W
2024/1/23 0:00:00,"1,186 W",415 W,291 W,480 W
2024/1/23 1:00:00,"1,161 W",416 W,264 W,481 W
