Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/22 13:00:00,"1,661 W",36 W,"1,136 W",489 W
2024/1/22 14:00:00,"1,747 W",40 W,"1,200 W",507 W
2024/1/22 15:00:00,"1,800 W",748 W,65 W,987 W
2024/1/22 16:00:00,72 W,2 W,64 W,6 W
2024/1/22 17:00:00,76 W,1 W,69 W,6 W
2024/1/22 18:00:00,165 W,1 W,158 W,6 W
2024/1/22 19:00:00,165 W,1 W,158 W,6 W
2024/1/22 20:00:00,"1,172 W",1 W,177 W,994 W
2024/1/22 21:00:00,189 W,1 W,182 W,6 W
2024/1/22 22:00:00,192 W,1 W,185 W,6 W
2024/1/22 23:00:00,"1,212 W",1 W,185 W,"1,026 W"
2024/1/23 0:00:00,220 W,1 W,188 W,31 W
2024/1/23 1:00:00,222 W,1 W,188 W,33 W
2024/1/23 2:00:00,"1,242 W",1 W,190 W,"1,051 W"
2024/1/23 3:00:00,226 W,1 W,191 W,34 W
2024/1/23 4:00:00,225 W,1 W,189 W,35 W
2024/1/23 5:00:00,226 W,1 W,191 W,34 W
2024/1/23 6:00:00,115 W,1 W,107 W,7 W
2024/1/23 7:00:00,"1,050 W",1 W,87 W,962 W
2024/1/23 8:00:00,68 W,1 W,61 W,6 W
2024/1/23 9:00:00,267 W,57 W,64 W,146 W
2024/1/23 10:00:00,294 W,33 W,61 W,200 W
2024/1/23 11:00:00,"1,363 W",739 W,425 W,199 W
2024/1/23 12:00:00,"1,367 W",47 W,359 W,961 W
2024/1/23 13:00:00,332 W,36 W,98 W,198 W
2024/1/23 14:00:00,"1,813 W",681 W,62 W,"1,070 W"
2024/1/23 15:00:00,"1,064 W",705 W,161 W,198 W
2024/1/23 16:00:00,92 W,15 W,71 W,6 W
2024/1/23 17:00:00,92 W,17 W,69 W,6 W
2024/1/23 18:00:00,181 W,15 W,161 W,5 W
2024/1/23 19:00:00,"1,059 W",16 W,158 W,885 W
2024/1/23 20:00:00,189 W,16 W,167 W,6 W
2024/1/23 21:00:00,"1,149 W",17 W,161 W,971 W
2024/1/23 22:00:00,192 W,17 W,170 W,5 W
2024/1/23 23:00:00,219 W,19 W,171 W,29 W
2024/1/24 0:00:00,224 W,19 W,174 W,31 W
2024/1/24 1:00:00,225 W,20 W,173 W,32 W
2024/1/24 2:00:00,"1,296 W",21 W,173 W,"1,102 W"
2024/1/24 3:00:00,230 W,21 W,176 W,33 W
2024/1/24 4:00:00,203 W,21 W,175 W,7 W
2024/1/24 5:00:00,202 W,20 W,175 W,7 W
2024/1/24 6:00:00,132 W,19 W,107 W,6 W
2024/1/24 7:00:00,"1,067 W",17 W,88 W,962 W
2024/1/24 8:00:00,87 W,15 W,67 W,5 W
2024/1/24 9:00:00,314 W,58 W,89 W,167 W
2024/1/24 10:00:00,"1,098 W",45 W,64 W,989 W
2024/1/24 11:00:00,"1,055 W",780 W,77 W,198 W
2024/1/24 12:00:00,"1,234 W",54 W,114 W,"1,066 W"
2024/1/24 13:00:00,592 W,47 W,347 W,198 W
2024/1/24 14:00:00,"1,370 W",40 W,313 W,"1,017 W"
2024/1/24 15:00:00,"1,031 W",745 W,62 W,224 W
2024/1/24 16:00:00,"1,036 W",1 W,70 W,965 W
2024/1/24 17:00:00,104 W,2 W,67 W,35 W
2024/1/24 18:00:00,"1,094 W",2 W,155 W,937 W
2024/1/24 19:00:00,193 W,2 W,157 W,34 W
2024/1/24 20:00:00,169 W,2 W,160 W,7 W
2024/1/24 21:00:00,170 W,3 W,161 W,6 W
2024/1/24 22:00:00,177 W,3 W,168 W,6 W
2024/1/24 23:00:00,180 W,2 W,172 W,6 W
2024/1/25 0:00:00,207 W,3 W,174 W,30 W
2024/1/25 1:00:00,"1,247 W",2 W,174 W,"1,071 W"
2024/1/25 2:00:00,211 W,2 W,175 W,34 W
2024/1/25 3:00:00,211 W,2 W,176 W,33 W
2024/1/25 4:00:00,"1,226 W",3 W,173 W,"1,050 W"
2024/1/25 5:00:00,185 W,3 W,176 W,6 W
2024/1/25 6:00:00,114 W,2 W,106 W,6 W
2024/1/25 7:00:00,98 W,2 W,90 W,6 W
2024/1/25 8:00:00,69 W,2 W,62 W,5 W
2024/1/25 9:00:00,"1,203 W",49 W,115 W,"1,039 W"
2024/1/25 10:00:00,286 W,41 W,65 W,180 W
2024/1/25 11:00:00,"1,453 W",23 W,399 W,"1,031 W"
2024/1/25 12:00:00,268 W,23 W,66 W,179 W
2024/1/25 13:00:00,299 W,24 W,67 W,208 W
2024/1/25 14:00:00,391 W,49 W,117 W,225 W
2024/1/25 15:00:00,754 W,49 W,526 W,179 W
2024/1/25 16:00:00,212 W,2 W,65 W,145 W
2024/1/25 17:00:00,79 W,2 W,70 W,7 W
2024/1/25 18:00:00,"1,005 W",2 W,158 W,845 W
2024/1/25 19:00:00,166 W,2 W,159 W,5 W
2024/1/25 20:00:00,"1,134 W",2 W,162 W,970 W
2024/1/25 21:00:00,171 W,2 W,163 W,6 W
2024/1/25 22:00:00,169 W,2 W,161 W,6 W
2024/1/25 23:00:00,"1,225 W",2 W,170 W,"1,053 W"
2024/1/26 0:00:00,181 W,2 W,173 W,6 W
2024/1/26 1:00:00,183 W,3 W,174 W,6 W
2024/1/26 2:00:00,"1,231 W",3 W,170 W,"1,058 W"
2024/1/26 3:00:00,183 W,2 W,175 W,6 W
2024/1/26 4:00:00,184 W,2 W,176 W,6 W
2024/1/26 5:00:00,181 W,3 W,173 W,5 W
2024/1/26 6:00:00,132 W,2 W,125 W,5 W
2024/1/26 7:00:00,"1,038 W",3 W,89 W,946 W
2024/1/26 8:00:00,127 W,2 W,120 W,5 W
2024/1/26 9:00:00,249 W,23 W,76 W,150 W
2024/1/26 10:00:00,628 W,23 W,407 W,198 W
2024/1/26 11:00:00,"1,448 W",40 W,66 W,"1,342 W"
2024/1/26 12:00:00,"2,586 W","1,156 W",65 W,"1,365 W"
