Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2/1/2024 0:00,173 W,110 W,49 W,14 W
2/1/2024 1:00,173 W,110 W,49 W,14 W
2/1/2024 2:00,169 W,107 W,49 W,13 W
2/1/2024 3:00,164 W,101 W,49 W,14 W
2/1/2024 4:00,167 W,105 W,49 W,13 W
2/1/2024 5:00,117 W,112 W,5 W,0 W
2/1/2024 6:00,116 W,113 W,5 W,-2 W
2/1/2024 7:00,113 W,114 W,4 W,-5 W
2/1/2024 8:00,274 W,117 W,61 W,96 W
2/1/2024 9:00,"1,164 W",233 W,98 W,833 W
2/1/2024 10:00,"2,349 W",851 W,948 W,550 W
2/1/2024 11:00,"2,381 W",963 W,"1,000 W",418 W
2/1/2024 12:00,847 W,586 W,157 W,104 W
2/1/2024 13:00,714 W,270 W,131 W,313 W
2/1/2024 14:00,436 W,306 W,130 W,0 W
2/1/2024 15:00,"1,255 W",261 W,993 W,1 W
2/1/2024 16:00,750 W,578 W,136 W,36 W
2/1/2024 17:00,337 W,184 W,151 W,2 W
2/1/2024 18:00,631 W,483 W,136 W,12 W
2/1/2024 19:00,575 W,448 W,118 W,9 W
2/1/2024 20:00,239 W,111 W,118 W,10 W
